New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Approx InterVA5.py line number,Meta: Notes
i316o,,-Id10316,(Id10316) Did she give birth to a live baby (within 6 weeks of her death)?,eq,yes,,1349,
i317o,,-Id10317,(Id10317) Did she die during or after a multiple pregnancy?,eq,yes,,1354,
i318o,,-Id10318,(Id10318) Was she breastfeeding the child in the days before death?,eq,yes,,1359,
i319a,,-Id10319,"(Id10319) How many births, including stillbirths, did she/the mother have before this baby?",eq,0,,1364,
i319b,,-Id10319,"(Id10319) How many births, including stillbirths, did she/the mother have before this baby?",ge,4,,1369,
i320o,,-Id10320,(Id10320) Had she had any previous Caesarean section?,eq,yes,,1374,
i321o,,-Id10321,"(Id10321) During pregnancy, did she suffer from high blood pressure?",eq,yes,,1379,
i322o,,-Id10322,(Id10322) Did she have foul smelling vaginal discharge during pregnancy or after delivery?,eq,yes,,1384,
i323o,,-Id10323,"(Id10323) During the last 3 months of pregnancy, did she suffer from convulsions?",eq,yes,,1389,
i324o,,-Id10324,(Id10324) During the last 3 months of pregnancy did she suffer from blurred vision?,eq,yes,,1394,
i325o,,-Id10325,(Id10325) Did bleeding occur while she was pregnant?,eq,yes,,1399,
i326o,,-Id10326,(Id10326) Was there vaginal bleeding during the first 6 months of pregnancy?,eq,yes,,1404,
i327o,,-Id10327,(Id10327) Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?,eq,yes,,1409,
i328o,,-Id10328,(Id10328) Did she have excessive bleeding during labour or delivery?,eq,yes,,1414,
i329o,,-Id10329,(Id10329) Did she have excessive bleeding after delivery or abortion?,eq,yes,,1419,
i330o,,-Id10330,(Id10330) Was the placenta completely delivered?,eq,yes,,1424,
i331o,,-Id10331,(Id10331) Did she deliver or try to deliver an abnormally positioned baby?,eq,yes,,1429,
i332a,,-Id10332,(Id10332) For how many hours was she in labour?,gt,24,,1434,
i333o,,-Id10333,(Id10333) Did she attempt to terminate the pregnancy?,eq,yes,,1439,
i334o,,-Id10334,(Id10334) Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?,eq,yes,,1444,
i335o,,-Id10335,(Id10335) Did she die during an abortion?,eq,yes,,1449,
i336o,,-Id10336,(Id10336) Did she die within 6 weeks of having an abortion?,eq,yes,,1454,
i337a,,-Id10337,(Id10337) Where did she give birth?,eq,other_health_facility,,1460,
i337a,,-Id10337,(Id10337) Where did she give birth?,eq,hospital,,1459,
i337b,,-Id10337,(Id10337) Where did she give birth?,eq,home,,1468,
i337c,,-Id10337,(Id10337) Where did she give birth?,eq,other,,1477,
i337c,,-Id10337,(Id10337) Where did she give birth?,eq,on_route_to_hospital_or_facility,,1476,
i338o,,-Id10338,(Id10338) Did she receive professional assistance during the delivery?,eq,yes,,1481,
i340o,,-Id10340,(Id10340) Did she have an operation to remove her uterus shortly before death?,eq,yes,,1486,
i342o,,-Id10342,"(Id10342) Was the delivery normal vaginal, without forceps or vacuum?",eq,yes,,1491,
i343o,,-Id10343,"(Id10343) Was the delivery vaginal, with forceps or vacuum?",eq,yes,,1496,
i344o,,-Id10344,(Id10344) Was the delivery a Caesarean section?,eq,yes,,1501,
i347o,,-Id10347,(Id10347) Was the baby born more than one month early?,eq,yes,,1506,
i354o,,-Id10354,(Id10354) Was the child part of a multiple  birth?,eq,yes,,1511,
i355a,,-Id10355,"(Id10355) Was the child the first, second, or later in the birth order?",eq,first,,1516,
i356o,,-Id10356,(Id10356) Is the mother still alive?,eq,yes,,1521,
i357o,,-Id10357,"(Id10357) Did the mother die before, during or after the delivery?",eq,during_delivery,,1527,
i357o,,-Id10357,"(Id10357) Did the mother die before, during or after the delivery?",eq,after_delivery,,1526,
i358a, Did the child's mother die in the baby's first year of life?,,,,,,
i360a,,-Id10360,(Id10360) Where was the deceased born?,eq,other_health_facility,,1539,
i360a,,-Id10360,(Id10360) Where was the deceased born?,eq,hospital,,1538,
i360b,,-Id10360,(Id10360) Where was the deceased born?,eq,home,,1547,
i360c,,-Id10360,(Id10360) Where was the deceased born?,eq,on_route_to_hospital_or_facility,,1556,
i360c,,-Id10360,(Id10360) Where was the deceased born?,eq,other,,1555,
i361o,,-Id10361,(Id10361) Did you/the mother receive professional assistance during the delivery?,eq,yes,,1560,
i362o,,-Id10362,"(Id10362) At birth, was the baby of usual size?",eq,yes,,1565,
i363o,,-Id10363,"(Id10363) At birth, was the baby smaller than usual, (weighing under 2.5 kg)?",eq,yes,,1570,
i364o,,-Id10364,"(Id10364) At birth, was the baby very much smaller than usual, (weighing under 1 kg)?",eq,yes,,1575,
i365o,,-Id10365,"(Id10365) At birth, was the baby larger than usual, (weighing over 4.5 kg)?",eq,yes,,1580,
i367a,,-Id10367,(Id10367) How many months long was the pregnancy before the child was born?,ge,9,,1585,
i367b,,-Id10367,(Id10367) How many months long was the pregnancy before the child was born?,eq,8,,1590,
i367c,,-Id10367,(Id10367) How many months long was the pregnancy before the child was born?,lt,8,,1595,
i368o,,-Id10368,"(Id10368) Were there any complications in the late part of the pregnancy (defined as the last 3 months, before labour)? ",eq,yes,,1599,
i369o,,-Id10369,(Id10369) Were there any complications during labour or delivery? ,eq,yes,,1604,
i370o,,-Id10370,"(Id10370) Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?",eq,yes,,1609,
i371o,,-Id10371,(Id10371) Did the baby/ child have a swelling or defect on the back at time of birth?,eq,yes,,1614,
i372o,,-Id10372,(Id10372) Did the baby/ child have a very large head at time of birth?,eq,yes,,1619,
i373o,,-Id10373,(Id10373) Did the baby/ child have a very small head at time of birth?,eq,yes,,1624,
i376o,,-Id10376,(Id10376) Was the baby moving in the last few days before the birth?,eq,yes,,1629,
i377o,,-Id10377,(Id10377) Did the baby stop moving in the womb before labour started?,eq,yes,,1634,
i382a,,-Id10382,(Id10382) How many hours did labour and delivery take?,gt,24,,1639,
i383o,,-Id10383,(Id10383) Was the baby born 24 hours or more after the water broke?,eq,yes,,1644,
i384o,,-Id10384,(Id10384) Was the liquor foul smelling?,eq,yes,,1649,
i385a,,-Id10385,(Id10385) What was the colour of the liquor when the water broke?,eq,green_or_brown,,1654,
i387o,,-Id10387,"(Id10387) Was the delivery normal vaginal, without forceps or vacuum?",eq,yes,,1660,
i388o,,-Id10388,"(Id10388) Was the delivery vaginal, with forceps or vacuum?",eq,yes,,1665,
i389o,,-Id10389,(Id10389) Was the delivery a Caesarean section?,eq,yes,,1670,
i391o,,-Id10391,(Id10391) Did you/the mother receive any vaccinations since reaching adulthood including during this pregnancy?,eq,yes,,1675,
i393o,,-Id10393,(Id10393) Did you/the mother receive tetanus toxoid (TT) vaccine?,eq,yes,,1680,
i394a,,-Id10394,"(Id10394) How many births, including stillbirths, did the baby's mother have before this baby?",eq,0,,1685,
i394b,,-Id10394,"(Id10394) How many births, including stillbirths, did the baby's mother have before this baby?",ge,4,,1690,
i395o,,-Id10395,"(Id10395) During labour, did the baby's mother suffer from fever?",eq,yes,,1695,
i396o,,-Id10396,"(Id10396) During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from high blood pressure?",eq,yes,,1700,
i397o,,-Id10397,(Id10397) Did you/the baby's mother have diabetes mellitus?,eq,yes,,1705,
i398o,,-Id10398,(Id10398) Did you/the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?,eq,yes,,1710,
i399o,,-Id10399,"(Id10399) During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from convulsions?",eq,yes,,1715,
i400o,,-Id10400,(Id10400) During the last 3 months of pregnancy did you/the baby's mother suffer from blurred vision?,eq,yes,,1720,
i401o,,-Id10401,(Id10401) Did you/the baby's mother have severe anemia?,eq,yes,,1725,
i402o,,-Id10402,(Id10402) Did you/the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?,eq,yes,,1730,
i403o,,-Id10403,"(Id10403) Did the baby's bottom, feet, arm or hand come out of the vagina before its head?",eq,yes,,1735,
i404o,,-Id10404,(Id10404) Was the umbilical cord wrapped more than once around the neck of the child at birth?,eq,yes,,1740,
i405o,,-Id10405,(Id10405) Was the umbilical cord delivered first?,eq,yes,,1745,
i406o,,-Id10406,(Id10406) Was the baby blue in colour at birth?,eq,yes,,1750,
i408o,,-Id10408,"(Id10408) Before the illness that led to death, was the baby/the child growing normally?",eq,yes,,1755,
i411o,,-Id10411,(Id10411) Did (s)he drink alcohol?,eq,yes,,1760,
i412o,,-Id10412,(Id10412) Did (s)he use tobacco?,eq,yes,,1765,
i413o,,-Id10413,"(Id10413) Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?",eq,yes,,1770,
i414a,,-Id10414,(Id10414) What kind of tobacco did (s)he use ?,eq,chewing_tobacco,,1775,
i415a,,-Id10415,(Id10415) How many cigarettes did (s)he smoke daily?,ge,10,,1783,
i418o,,-Id10418,(Id10418) Did (s)he receive any treatment for the illness that led to death?,eq,yes,,1788,
i419o,,-Id10419,(Id10419) Did (s)he receive oral rehydration salts?,eq,yes,,1793,
i420o,,-Id10420,(Id10420) Did (s)he receive (or need) intravenous fluids (drip) treatment?,eq,yes,,1798,
i421o,,-Id10421,(Id10421) Did (s)he receive (or need) a blood transfusion?,eq,yes,,1803,
i422o,,-Id10422,(Id10422) Did (s)he receive (or need) treatment/food through a tube passed through the nose?,eq,yes,,1808,
i423o,,-Id10423,(Id10423) Did (s)he receive (or need) injectable antibiotics?,eq,yes,,1813,
i424o,,-Id10424,(Id10424) Did (s)he receive (or need) antiretroviral therapy (ART)?,eq,yes,,1818,
i425o,,-Id10425,(Id10425) Did (s)he have (or need) an operation for the illness?,eq,yes,,1823,
i426o,,-Id10426,(Id10426) Did (s)he have the operation within 1 month before death?,eq,yes,,1828,
i427o,,-Id10427,(Id10427) Was (s)he discharged from hospital very ill?,eq,yes,,1833,
i428o,,-Id10428,(Id10428) Did (s)he receive any immunizations?,eq,yes,,1838,
i450o,,-Id10450,"(Id10450) In the final days before death, did s/he travel to a hospital or health facility?",eq,yes,,1843,
i451o,,-Id10451,(Id10451) Did (s)he use motorised transport to get to the hospital or health facility?,eq,yes,,1848,
i452o,,-Id10452,(Id10452) Were there any problems during admission to the hospital or health facility?,eq,yes,,1853,
i453o,,-Id10453,"(Id10453) Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?",eq,yes,,1858,
i454o,,-Id10454,(Id10454) Were there any problems getting medications or diagnostic tests in the hospital or health facility?,eq,yes,,1863,
i455o,,-Id10455,(Id10455) Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?,eq,yes,,1868,
i456o,,-Id10456,"(Id10456) In the final days before death, were there any doubts about whether medical care was needed?",eq,yes,,1873,
i457o,,-Id10457,"(Id10457) In the final days before death, was traditional medicine used?",eq,yes,,1878,
i458o,,-Id10458,"(Id10458) In the final days before death, did anyone use a telephone or cell phone to call for help?",eq,yes,,1883,
i459o,,-Id10459,"(Id10459) Over the course of illness, did the total costs of care and treatment prohibit other household payments?",eq,yes,,1888,
